model,name,family,layer,shape,beta,p,N,Dstrict,DTW2,n_spikes,spike_energy,boot_p_TW,degenerate
bert-large-uncased,encoder.layer.14.attention.output.dense.weight,attn_out,14,"(1024, 1024)",1.0,1024,1024,0.054967774713303774,0.07140237972149088,33,0.16095787477010728,0.004975124378109453,False
bert-large-uncased,encoder.layer.15.attention.self.query.weight,attn_qkv,15,"(1024, 1024)",1.0,1024,1024,0.10893352821281799,0.13751580483277398,49,0.29937891489343366,0.004975124378109453,False
bert-large-uncased,encoder.layer.15.attention.self.key.weight,attn_qkv,15,"(1024, 1024)",1.0,1024,1024,0.10929485468325245,0.1330415154395318,43,0.28780252078908625,0.004975124378109453,False
bert-large-uncased,encoder.layer.15.attention.self.value.weight,attn_qkv,15,"(1024, 1024)",1.0,1024,1024,0.0791815286725811,0.10430404472199228,45,0.23592640660043881,0.004975124378109453,False
bert-large-uncased,encoder.layer.15.attention.output.dense.weight,attn_out,15,"(1024, 1024)",1.0,1024,1024,0.06228459813037002,0.08225593205802834,40,0.2009991599756655,0.004975124378109453,False
bert-large-uncased,encoder.layer.16.attention.self.query.weight,attn_qkv,16,"(1024, 1024)",1.0,1024,1024,0.10279786014742276,0.1281457715652633,46,0.2938381772078813,0.004975124378109453,False
bert-large-uncased,encoder.layer.16.attention.self.key.weight,attn_qkv,16,"(1024, 1024)",1.0,1024,1024,0.10526600108314682,0.12804669513426348,40,0.29123879467364766,0.004975124378109453,False
bert-large-uncased,encoder.layer.16.attention.self.value.weight,attn_qkv,16,"(1024, 1024)",1.0,1024,1024,0.06357109126064164,0.08228190899350019,38,0.18841284628130622,0.004975124378109453,False
bert-large-uncased,encoder.layer.16.attention.output.dense.weight,attn_out,16,"(1024, 1024)",1.0,1024,1024,0.04938058883928509,0.0608994699611331,29,0.14055932767543008,0.004975124378109453,False
bert-large-uncased,encoder.layer.17.attention.self.query.weight,attn_qkv,17,"(1024, 1024)",1.0,1024,1024,0.10842944527268833,0.13369358788187274,46,0.28909571067263334,0.004975124378109453,False
bert-large-uncased,encoder.layer.17.attention.self.key.weight,attn_qkv,17,"(1024, 1024)",1.0,1024,1024,0.10900783846135847,0.13115993013073007,38,0.2803064610460334,0.004975124378109453,False
bert-large-uncased,encoder.layer.17.attention.self.value.weight,attn_qkv,17,"(1024, 1024)",1.0,1024,1024,0.06088035809581266,0.07906928216325199,37,0.186787099367431,0.004975124378109453,False
bert-large-uncased,encoder.layer.17.attention.output.dense.weight,attn_out,17,"(1024, 1024)",1.0,1024,1024,0.04745221174352249,0.059549753282061524,29,0.14253575635605678,0.004975124378109453,False
bert-large-uncased,encoder.layer.18.attention.self.query.weight,attn_qkv,18,"(1024, 1024)",1.0,1024,1024,0.10228639727075739,0.12863770816868508,46,0.28168307295521283,0.004975124378109453,False
