model,name,family,beta,n_spikes_naive,n_spikes_bbp,near_edge,Espike_naive,Espike_bbp
bert-large-uncased,encoder.layer.7.attention.self.value.weight,attn_qkv,1.0,51,50,1,0.2884,0.2844
bert-large-uncased,encoder.layer.7.attention.output.dense.weight,attn_out,1.0,48,48,0,0.2698,0.2698
bert-large-uncased,encoder.layer.7.intermediate.dense.weight,ffn_intermediate,0.25,66,65,1,0.2028,0.2006
bert-large-uncased,encoder.layer.7.output.dense.weight,ffn_output,0.25,71,70,1,0.2062,0.204
bert-large-uncased,encoder.layer.8.attention.self.query.weight,attn_qkv,1.0,37,37,0,0.2417,0.2417
bert-large-uncased,encoder.layer.8.attention.self.key.weight,attn_qkv,1.0,45,44,1,0.2959,0.292
bert-large-uncased,encoder.layer.8.attention.self.value.weight,attn_qkv,1.0,50,49,1,0.2762,0.2722
bert-large-uncased,encoder.layer.8.attention.output.dense.weight,attn_out,1.0,48,47,1,0.2566,0.2527
bert-large-uncased,encoder.layer.8.intermediate.dense.weight,ffn_intermediate,0.25,65,63,2,0.1938,0.1894
bert-large-uncased,encoder.layer.8.output.dense.weight,ffn_output,0.25,78,75,3,0.2331,0.2265
bert-large-uncased,encoder.layer.9.attention.self.query.weight,attn_qkv,1.0,46,44,2,0.2812,0.2734
bert-large-uncased,encoder.layer.9.attention.self.key.weight,attn_qkv,1.0,53,52,1,0.3352,0.3313
bert-large-uncased,encoder.layer.9.attention.self.value.weight,attn_qkv,1.0,45,44,1,0.2338,0.2299
bert-large-uncased,encoder.layer.9.attention.output.dense.weight,attn_out,1.0,36,36,0,0.1973,0.1973
bert-large-uncased,encoder.layer.9.intermediate.dense.weight,ffn_intermediate,0.25,71,70,1,0.2367,0.2345
bert-large-uncased,encoder.layer.9.output.dense.weight,ffn_output,0.25,70,69,1,0.2272,0.225
bert-large-uncased,encoder.layer.10.attention.self.query.weight,attn_qkv,1.0,47,47,0,0.3781,0.3781
bert-large-uncased,encoder.layer.10.attention.self.key.weight,attn_qkv,1.0,42,41,1,0.3644,0.3605
bert-large-uncased,encoder.layer.10.attention.self.value.weight,attn_qkv,1.0,47,47,0,0.2511,0.2511
bert-large-uncased,encoder.layer.10.attention.output.dense.weight,attn_out,1.0,43,42,1,0.2132,0.2093
bert-large-uncased,encoder.layer.10.intermediate.dense.weight,ffn_intermediate,0.25,78,77,1,0.2711,0.2689
bert-large-uncased,encoder.layer.10.output.dense.weight,ffn_output,0.25,67,65,2,0.2115,0.2071
bert-large-uncased,encoder.layer.11.attention.self.query.weight,attn_qkv,1.0,53,52,1,0.33,0.326
bert-large-uncased,encoder.layer.11.attention.self.key.weight,attn_qkv,1.0,45,45,0,0.3073,0.3073
bert-large-uncased,encoder.layer.11.attention.self.value.weight,attn_qkv,1.0,49,48,1,0.264,0.2601
bert-large-uncased,encoder.layer.11.attention.output.dense.weight,attn_out,1.0,36,35,1,0.1867,0.1827
bert-large-uncased,encoder.layer.11.intermediate.dense.weight,ffn_intermediate,0.25,79,77,2,0.2659,0.2615
bert-large-uncased,encoder.layer.11.output.dense.weight,ffn_output,0.25,73,73,0,0.2328,0.2328
bert-large-uncased,encoder.layer.12.attention.self.query.weight,attn_qkv,1.0,54,53,1,0.3742,0.3702
bert-large-uncased,encoder.layer.12.attention.self.key.weight,attn_qkv,1.0,44,44,0,0.3547,0.3547
bert-large-uncased,encoder.layer.12.attention.self.value.weight,attn_qkv,1.0,46,45,1,0.2367,0.2327
bert-large-uncased,encoder.layer.12.attention.output.dense.weight,attn_out,1.0,32,31,1,0.1483,0.1444
bert-large-uncased,encoder.layer.12.intermediate.dense.weight,ffn_intermediate,0.25,76,76,0,0.2517,0.2517
bert-large-uncased,encoder.layer.12.output.dense.weight,ffn_output,0.25,75,74,1,0.2429,0.2407
bert-large-uncased,encoder.layer.13.attention.self.query.weight,attn_qkv,1.0,55,54,1,0.3875,0.3835
bert-large-uncased,encoder.layer.13.attention.self.key.weight,attn_qkv,1.0,47,47,0,0.3974,0.3974
bert-large-uncased,encoder.layer.13.attention.self.value.weight,attn_qkv,1.0,41,40,1,0.2043,0.2004
bert-large-uncased,encoder.layer.13.attention.output.dense.weight,attn_out,1.0,21,20,1,0.0933,0.0894
bert-large-uncased,encoder.layer.13.intermediate.dense.weight,ffn_intermediate,0.25,78,78,0,0.2515,0.2515
bert-large-uncased,encoder.layer.13.output.dense.weight,ffn_output,0.25,70,69,1,0.2199,0.2177
bert-large-uncased,encoder.layer.14.attention.self.query.weight,attn_qkv,1.0,52,51,1,0.334,0.3301
bert-large-uncased,encoder.layer.14.attention.self.key.weight,attn_qkv,1.0,43,43,0,0.316,0.316
bert-large-uncased,encoder.layer.14.attention.self.value.weight,attn_qkv,1.0,47,45,2,0.2444,0.2365
bert-large-uncased,encoder.layer.14.attention.output.dense.weight,attn_out,1.0,33,32,1,0.161,0.157
bert-large-uncased,encoder.layer.14.intermediate.dense.weight,ffn_intermediate,0.25,73,72,1,0.2337,0.2315
bert-large-uncased,encoder.layer.14.output.dense.weight,ffn_output,0.25,71,71,0,0.2249,0.2249
bert-large-uncased,encoder.layer.15.attention.self.query.weight,attn_qkv,1.0,49,48,1,0.2994,0.2955
bert-large-uncased,encoder.layer.15.attention.self.key.weight,attn_qkv,1.0,43,42,1,0.2878,0.2839
bert-large-uncased,encoder.layer.15.attention.self.value.weight,attn_qkv,1.0,45,45,0,0.2359,0.2359
bert-large-uncased,encoder.layer.15.attention.output.dense.weight,attn_out,1.0,40,40,0,0.201,0.201
bert-large-uncased,encoder.layer.15.intermediate.dense.weight,ffn_intermediate,0.25,71,70,1,0.2253,0.2231
bert-large-uncased,encoder.layer.15.output.dense.weight,ffn_output,0.25,67,66,1,0.2096,0.2074
bert-large-uncased,encoder.layer.16.attention.self.query.weight,attn_qkv,1.0,46,46,0,0.2938,0.2938
bert-large-uncased,encoder.layer.16.attention.self.key.weight,attn_qkv,1.0,40,40,0,0.2912,0.2912
bert-large-uncased,encoder.layer.16.attention.self.value.weight,attn_qkv,1.0,38,38,0,0.1884,0.1884
bert-large-uncased,encoder.layer.16.attention.output.dense.weight,attn_out,1.0,29,29,0,0.1406,0.1406
bert-large-uncased,encoder.layer.16.intermediate.dense.weight,ffn_intermediate,0.25,70,70,0,0.2205,0.2205
bert-large-uncased,encoder.layer.16.output.dense.weight,ffn_output,0.25,68,67,1,0.2045,0.2023
bert-large-uncased,encoder.layer.17.attention.self.query.weight,attn_qkv,1.0,46,44,2,0.2891,0.2813
bert-large-uncased,encoder.layer.17.attention.self.key.weight,attn_qkv,1.0,38,38,0,0.2803,0.2803
bert-large-uncased,encoder.layer.17.attention.self.value.weight,attn_qkv,1.0,37,36,1,0.1868,0.1829
bert-large-uncased,encoder.layer.17.attention.output.dense.weight,attn_out,1.0,29,28,1,0.1425,0.1386
bert-large-uncased,encoder.layer.17.intermediate.dense.weight,ffn_intermediate,0.25,72,71,1,0.2332,0.231
bert-large-uncased,encoder.layer.17.output.dense.weight,ffn_output,0.25,54,53,1,0.1574,0.1552
bert-large-uncased,encoder.layer.18.attention.self.query.weight,attn_qkv,1.0,46,46,0,0.2817,0.2817
bert-large-uncased,encoder.layer.18.attention.self.key.weight,attn_qkv,1.0,42,41,1,0.2775,0.2736
bert-large-uncased,encoder.layer.18.attention.self.value.weight,attn_qkv,1.0,35,34,1,0.1699,0.166
bert-large-uncased,encoder.layer.18.attention.output.dense.weight,attn_out,1.0,38,37,1,0.186,0.1821
bert-large-uncased,encoder.layer.18.intermediate.dense.weight,ffn_intermediate,0.25,75,75,0,0.2374,0.2374
bert-large-uncased,encoder.layer.18.output.dense.weight,ffn_output,0.25,40,40,0,0.1063,0.1063
bert-large-uncased,encoder.layer.19.attention.self.query.weight,attn_qkv,1.0,45,44,1,0.3002,0.2963
bert-large-uncased,encoder.layer.19.attention.self.key.weight,attn_qkv,1.0,43,42,1,0.2916,0.2877
bert-large-uncased,encoder.layer.19.attention.self.value.weight,attn_qkv,1.0,31,31,0,0.1452,0.1452
bert-large-uncased,encoder.layer.19.attention.output.dense.weight,attn_out,1.0,29,28,1,0.1333,0.1294
bert-large-uncased,encoder.layer.19.intermediate.dense.weight,ffn_intermediate,0.25,81,80,1,0.2475,0.2453
bert-large-uncased,encoder.layer.19.output.dense.weight,ffn_output,0.25,33,33,0,0.0869,0.0869
bert-large-uncased,encoder.layer.20.attention.self.query.weight,attn_qkv,1.0,45,45,0,0.2801,0.2801
bert-large-uncased,encoder.layer.20.attention.self.key.weight,attn_qkv,1.0,46,45,1,0.2715,0.2675
bert-large-uncased,encoder.layer.20.attention.self.value.weight,attn_qkv,1.0,34,33,1,0.1489,0.145
bert-large-uncased,encoder.layer.20.attention.output.dense.weight,attn_out,1.0,32,30,2,0.1403,0.1325
bert-large-uncased,encoder.layer.20.intermediate.dense.weight,ffn_intermediate,0.25,84,83,1,0.2658,0.2636
bert-large-uncased,encoder.layer.20.output.dense.weight,ffn_output,0.25,29,28,1,0.0707,0.0685
bert-large-uncased,encoder.layer.21.attention.self.query.weight,attn_qkv,1.0,37,37,0,0.2453,0.2453
bert-large-uncased,encoder.layer.21.attention.self.key.weight,attn_qkv,1.0,40,39,1,0.2428,0.2389
bert-large-uncased,encoder.layer.21.attention.self.value.weight,attn_qkv,1.0,45,43,2,0.2071,0.1993
bert-large-uncased,encoder.layer.21.attention.output.dense.weight,attn_out,1.0,30,29,1,0.1335,0.1296
bert-large-uncased,encoder.layer.21.intermediate.dense.weight,ffn_intermediate,0.25,82,81,1,0.2732,0.271
bert-large-uncased,encoder.layer.21.output.dense.weight,ffn_output,0.25,31,31,0,0.0758,0.0758
bert-large-uncased,encoder.layer.22.attention.self.query.weight,attn_qkv,1.0,35,34,1,0.2578,0.2539
bert-large-uncased,encoder.layer.22.attention.self.key.weight,attn_qkv,1.0,42,42,0,0.2677,0.2677
bert-large-uncased,encoder.layer.22.attention.self.value.weight,attn_qkv,1.0,43,41,2,0.1996,0.1918
bert-large-uncased,encoder.layer.22.attention.output.dense.weight,attn_out,1.0,19,17,2,0.0805,0.0727
bert-large-uncased,encoder.layer.22.intermediate.dense.weight,ffn_intermediate,0.25,74,73,1,0.2356,0.2334
bert-large-uncased,encoder.layer.22.output.dense.weight,ffn_output,0.25,52,51,1,0.1285,0.1263
bert-large-uncased,encoder.layer.23.attention.self.query.weight,attn_qkv,1.0,34,34,0,0.2737,0.2737
bert-large-uncased,encoder.layer.23.attention.self.key.weight,attn_qkv,1.0,41,40,1,0.2868,0.2828
bert-large-uncased,encoder.layer.23.attention.self.value.weight,attn_qkv,1.0,31,30,1,0.137,0.1331
bert-large-uncased,encoder.layer.23.attention.output.dense.weight,attn_out,1.0,11,11,0,0.0451,0.0451
bert-large-uncased,encoder.layer.23.intermediate.dense.weight,ffn_intermediate,0.25,65,63,2,0.1884,0.184
bert-large-uncased,encoder.layer.23.output.dense.weight,ffn_output,0.25,92,90,2,0.2429,0.2385
bert-large-uncased,pooler.dense.weight,pooler,1.0,14,14,0,0.6337,0.6337
albert-base-v2,embeddings.word_embeddings.weight,emb_word,0.0043,36,36,0,0.4741,0.4741
albert-base-v2,embeddings.position_embeddings.weight,emb_position,0.25,8,8,0,0.99,0.99
albert-base-v2,encoder.embedding_hidden_mapping_in.weight,emb_projection,0.1667,1,1,0,0.0169,0.0169
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.query.weight,attn_qkv,1.0,39,39,0,0.3121,0.3121
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.key.weight,attn_qkv,1.0,41,41,0,0.3348,0.3348
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.value.weight,attn_qkv,1.0,30,30,0,0.1986,0.1986
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.attention.dense.weight,attn_out,1.0,29,29,0,0.2116,0.2116
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn.weight,ffn_intermediate,0.25,53,52,1,0.264,0.261
albert-base-v2,encoder.albert_layer_groups.0.albert_layers.0.ffn_output.weight,ffn_output,0.25,64,62,2,0.2846,0.2787
albert-base-v2,pooler.weight,pooler,1.0,16,16,0,0.6212,0.6212
